# Analysis title: koTRAF3_IFNG_diff_peaks_top1k analysis from Cistrome-GO
# Mode: Solo mode
# Specie: mm10
# Peak bed file name: koTRAF3_IFNG_diff_peaks_top1k.bed
# Top peaks to use: 10000
# Half-decay distance: 10000bp
# FDR cutoff of GO/KEGG terms to return: 0.2
# Minimum and maximum gene number in GO and KEGG gene sets: 10, 2000
# Term	N,n,B,b	Erichment	p_value	FDR	Gene_number
ABC transporters(mmu02010)	8447, 0, 48, 0	0.0	1.0	1.0	48
cAMP signaling pathway(mmu04024)	8447, 110, 210, 2	0.731	0.896269603866	1.0	210
Pathways in cancer(mmu05200)	8447, 35, 535, 6	2.707	0.0971087842342	0.462447435643	535
C-type lectin receptor signaling pathway(mmu04625)	8447, 80, 112, 3	2.828	0.23089571642	0.699327823136	112
Transcriptional misregulation in cancer(mmu05202)	8447, 141, 181, 5	1.655	0.420293002999	0.840586005999	181
Viral carcinogenesis(mmu05203)	8447, 134, 227, 16	4.443	4.91405714935e-06	0.000109513273614	227
Chemical carcinogenesis(mmu05204)	8447, 132, 94, 1	0.681	0.797403558807	1.0	94
Proteoglycans in cancer(mmu05205)	8447, 141, 202, 10	2.966	0.0106729931638	0.0975979877571	202
MicroRNAs in cancer(mmu05206)	8447, 179, 280, 9	1.517	0.384268369234	0.815590008171	280
TNF signaling pathway(mmu04668)	8447, 167, 110, 10	4.598	0.000314794929139	0.00475615206319	110
Parathyroid hormone synthesis, secretion and action(mmu04928)	8447, 69, 107, 1	1.144	0.71614034031	1.0	107
Glucagon signaling pathway(mmu04922)	8447, 0, 101, 0	0.0	1.0	1.0	101
Regulation of lipolysis in adipocytes(mmu04923)	8447, 116, 56, 1	1.3	0.571748370034	1.0	56
Adipocytokine signaling pathway(mmu04920)	8447, 80, 71, 4	5.949	0.0146023249077	0.120661177881	71
Oxytocin signaling pathway(mmu04921)	8447, 75, 153, 2	1.472	0.631175880884	1.0	153
Relaxin signaling pathway(mmu04926)	8447, 9, 131, 1	7.165	0.311318065404	0.746840446958	131
Cortisol synthesis and secretion(mmu04927)	8447, 20, 69, 1	6.121	0.285147676467	0.725278996553	69
Renin secretion(mmu04924)	8447, 0, 76, 0	0.0	1.0	1.0	76
Aldosterone synthesis and secretion(mmu04925)	8447, 20, 102, 1	4.141	0.399744853636	0.825962876386	102
Amyotrophic lateral sclerosis (ALS)(mmu05014)	8447, 80, 52, 2	4.061	0.177449682733	0.632599136125	52
Human immunodeficiency virus 1 infection(mmu05170)	8447, 156, 236, 20	4.589	9.67072036415e-08	3.3525163929e-06	236
Chemokine signaling pathway(mmu04062)	8447, 161, 194, 12	3.245	0.00181159968107	0.0201863964462	194
Fatty acid degradation(mmu00071)	8447, 0, 50, 0	0.0	1.0	1.0	50
Hematopoietic cell lineage(mmu04640)	8447, 150, 93, 5	3.028	0.0787248151663	0.43027531649	93
Cytokine-cytokine receptor interaction(mmu04060)	8447, 161, 290, 17	3.076	0.000257305898103	0.00422523369517	290
Starch and sucrose metabolism(mmu00500)	8447, 0, 33, 0	0.0	1.0	1.0	33
Linoleic acid metabolism(mmu00591)	8447, 0, 50, 0	0.0	1.0	1.0	50
Apelin signaling pathway(mmu04371)	8447, 29, 138, 1	2.111	0.60401750575	1.0	138
VEGF signaling pathway(mmu04370)	8447, 75, 58, 1	1.942	0.502755933947	0.950665766008	58
Biosynthesis of unsaturated fatty acids(mmu01040)	8447, 0, 32, 0	0.0	1.0	1.0	32
Arachidonic acid metabolism(mmu00590)	8447, 123, 88, 1	0.78	0.760021351697	1.0	88
Neuroactive ligand-receptor interaction(mmu04080)	8447, 22, 348, 1	1.103	0.86391782256	1.0	348
Vascular smooth muscle contraction(mmu04270)	8447, 29, 139, 1	2.096	0.606951904689	1.0	139
Longevity regulating pathway(mmu04211)	8447, 116, 90, 1	0.809	0.757267697266	1.0	90
Metabolism of xenobiotics by cytochrome P450(mmu00980)	8447, 132, 66, 1	0.97	0.667320442576	1.0	66
Intestinal immune network for IgA production(mmu04672)	8447, 9, 41, 1	22.892	0.0974985923737	0.462447435643	41
Drug metabolism - cytochrome P450(mmu00982)	8447, 132, 68, 1	0.941	0.678745998925	1.0	68
Drug metabolism - other enzymes(mmu00983)	8447, 132, 87, 1	0.736	0.770362279395	1.0	87
Peroxisome(mmu04146)	8447, 0, 84, 0	0.0	1.0	1.0	84
Metabolic pathways(mmu01100)	8447, 82, 1287, 14	1.121	0.795554905171	1.0	1287
Endometrial cancer(mmu05213)	8447, 0, 58, 0	0.0	1.0	1.0	58
Pancreatic cancer(mmu05212)	8447, 35, 75, 2	6.436	0.10430829539	0.471654900893	75
Renal cell carcinoma(mmu05211)	8447, 9, 68, 1	13.802	0.164910807721	0.61252585725	68
Oxidative phosphorylation(mmu00190)	8447, 160, 119, 4	1.775	0.37862505489	0.814696669832	119
Taste transduction(mmu04742)	8447, 121, 87, 1	0.802	0.752577760611	1.0	87
Leukocyte transendothelial migration(mmu04670)	8447, 167, 114, 3	1.331	0.589007976076	1.0	114
Olfactory transduction(mmu04740)	8447, 14, 1129, 2	1.069	0.916342472704	1.0	1129
Glioma(mmu05214)	8447, 0, 75, 0	0.0	1.0	1.0	75
DNA replication(mmu03030)	8447, 0, 35, 0	0.0	1.0	1.0	35
Pancreatic secretion(mmu04972)	8447, 0, 105, 0	0.0	1.0	1.0	105
Bladder cancer(mmu05219)	8447, 75, 41, 1	2.747	0.371477049326	0.808603482841	41
Huntington disease(mmu05016)	8447, 78, 181, 1	0.598	0.906523376793	1.0	181
Porphyrin and chlorophyll metabolism(mmu00860)	8447, 0, 41, 0	0.0	1.0	1.0	41
