# Analysis title: koTRAF3_Veh_diff_peaks_top1k analysis from Cistrome-GO
# Mode: Solo mode
# Specie: mm10
# Peak bed file name: koTRAF3_Veh_diff_peaks_top1k.bed
# Top peaks to use: 10000
# Half-decay distance: 10000bp
# FDR cutoff of GO/KEGG terms to return: 0.2
# Minimum and maximum gene number in GO and KEGG gene sets: 10, 2000
# Term	N,n,B,b	Erichment	p_value	FDR	Gene_number
ABC transporters(mmu02010)	8447, 0, 48, 0	0.0	1.0	1.0	48
cAMP signaling pathway(mmu04024)	8447, 106, 210, 1	0.379	0.948086414976	1.0	210
Pathways in cancer(mmu05200)	8447, 58, 535, 13	3.539	0.000400007517098	0.00656854449129	535
C-type lectin receptor signaling pathway(mmu04625)	8447, 68, 112, 4	4.436	0.0373444930738	0.211845124346	112
Transcriptional misregulation in cancer(mmu05202)	8447, 9, 181, 1	5.185	0.386531490451	0.768139012871	181
Viral carcinogenesis(mmu05203)	8447, 101, 227, 12	4.421	9.36182473451e-05	0.00194725954478	227
Chemical carcinogenesis(mmu05204)	8447, 89, 94, 1	1.01	0.677813464686	1.0	94
Proteoglycans in cancer(mmu05205)	8447, 103, 202, 10	4.06	0.000923442617523	0.0108133941461	202
MicroRNAs in cancer(mmu05206)	8447, 58, 280, 4	2.081	0.329141046142	0.713138933307	280
TNF signaling pathway(mmu04668)	8447, 79, 110, 7	6.804	0.000312286784625	0.0054129709335	110
Parathyroid hormone synthesis, secretion and action(mmu04928)	8447, 128, 107, 2	1.233	0.616166488111	1.0	107
Glucagon signaling pathway(mmu04922)	8447, 83, 101, 1	1.008	0.693254722888	1.0	101
Regulation of lipolysis in adipocytes(mmu04923)	8447, 100, 56, 1	1.508	0.504988242371	0.900321894971	56
Adipocytokine signaling pathway(mmu04920)	8447, 17, 71, 2	13.997	0.0296917694764	0.17736776998	71
Oxytocin signaling pathway(mmu04921)	8447, 14, 153, 1	3.944	0.431758072227	0.819551645947	153
Relaxin signaling pathway(mmu04926)	8447, 51, 131, 2	2.529	0.372642602589	0.745285205179	131
Cortisol synthesis and secretion(mmu04927)	8447, 20, 69, 1	6.121	0.261623373483	0.665700472986	69
Renin secretion(mmu04924)	8447, 126, 76, 1	0.882	0.685771757066	1.0	76
Aldosterone synthesis and secretion(mmu04925)	8447, 63, 102, 2	2.629	0.322023576972	0.702596895212	102
Amyotrophic lateral sclerosis (ALS)(mmu05014)	8447, 19, 52, 2	17.099	0.0142664164367	0.103514463448	52
Human immunodeficiency virus 1 infection(mmu05170)	8447, 95, 236, 15	5.651	3.79319051863e-07	1.63091550124e-05	236
