GSM_ID,Factor,Biosource,GIGGLE_score
GSM1183977,RELA,Macrophage;Peritoneum,1923.7681739521715
GSM2845654,RELA,372;Macrophage;Bone Marrow,1786.0085795530006
GSM2540285,RELA,Hepatocyte,1726.268057917843
GSM2845657,RELA,372;Macrophage;Bone Marrow,1566.0852755366213
GSM1875506,RELA,Macrophage;Bone Marrow,1517.118403525341
GSM1961546,RELA,EL-4,1509.9953142358866
GSM2522469,RELA,SCLC-24H;Macrophage;Bone Marrow,1507.1723911099814
GSM2433221,AIRE,MECs;Thymus,1483.2959072296185
GSM2845655,RELA,372;Macrophage;Bone Marrow,1472.7634241470455
GSM1183984,RELA,Macrophage;Peritoneum,1435.8931173240576
GSM1232946,RELA,Macrophage;Peritoneum,1411.6265627223322
GSM2845656,RELA,372;Macrophage;Bone Marrow,1388.582031304918
GSM2522475,RELA,SCLC-24H;Macrophage;Bone Marrow,1300.5193239104965
GSM2522465,RELA,Macrophage;Bone Marrow,1205.4126159650834
GSM2522472,RELA,Macrophage;Bone Marrow,1202.6494551490434
GSM1183983,RELA,Macrophage;Peritoneum,1181.5108446381687
GSM2522468,RELA,Macrophage;Bone Marrow,1173.3943099756266
GSM1645115,RELA,Macrophage;Bone Marrow,1078.1906497571586
GSM1183975,RELA,Macrophage;Peritoneum,1077.336739364639
GSM1645121,RELA,Macrophage;Bone Marrow,1067.6257340395084
GSM2522470,RELA,Macrophage;Bone Marrow,1029.8995857548937
GSM1645114,RELA,Macrophage;Bone Marrow,1010.4869037023852
GSM2522466,RELA,Macrophage;Bone Marrow,1001.6084529967823
GSM1875504,RELA,Macrophage;Bone Marrow,916.4404636403683
GSM1183974,RELA,Macrophage;Peritoneum,887.8331300256888
GSM1645118,RELA,Macrophage;Bone Marrow,885.8844036271463
GSM881113,RELA,Dendritic Cell;Bone Marrow,863.3925572015021
GSM2461325,RELA,Macrophage;Bone Marrow,862.1639812093933
GSM1645117,RELA,Macrophage;Bone Marrow,842.22099619976
GSM2095116,SREBF1,Macrophage;Bone Marrow,834.6287331903592
GSM1875502,RELA,Macrophage;Bone Marrow,828.0878368036415
GSM1645119,RELA,Macrophage;Bone Marrow,822.5408156125819
GSM2845658,RELA,372;Macrophage;Bone Marrow,810.5468918285612
GSM2095119,SREBF1,Macrophage;Bone Marrow,756.5655349301188
GSM2663874,RELA,MIN;Macrophage;Bone Marrow,744.1355383661354
GSM611117,RELA,Macrophage;Bone Marrow,744.0249774240109
GSM2663875,RELA,MIN;Macrophage;Bone Marrow,732.2252146567836
GSM1961553,RELA,Th1,731.0269992646782
GSM2663876,RELA,MIN;Macrophage;Bone Marrow,719.0273800160013
GSM2522467,RELA,Macrophage;Bone Marrow,718.108912411456
GSM1961554,RELA,Th1,704.0620099415102
GSM2845659,RELA,372;Macrophage;Bone Marrow,673.7534297515676
GSM2095112,RELA,Macrophage;Bone Marrow,667.8285786366256
GSM1875287,TFAP2A,Melan-a;Melanocyte,661.8121966646698
GSM1645116,RELA,Macrophage;Bone Marrow,660.0384064345906
GSM2663877,RELA,MIN;Macrophage;Bone Marrow,644.3633205189477
GSM851496,GRIP1,Macrophage;Bone Marrow,625.2853048885293
GSM1368005,CREBBP,3T3-L1;Preadipocyte;Adipose,602.8823258070034
GSM1232947,RELA,Macrophage;Peritoneum,579.2762212585964
GSM940401,RXRA,C17.2;Neural Progenitor Cell,567.5367185443301
GSM940399,THRA,C17.2;Neural Progenitor Cell,554.83279255494
GSM2663878,RELA,MIN;Macrophage;Bone Marrow,551.1665235526312
GSM1199141,CREBBP,3T3-L1;Preadipocyte;Adipose,514.5448544205682
GSM1199140,CREBBP,3T3-L1;Preadipocyte;Adipose,504.7612988135288
GSM2663879,RELA,MIN;Macrophage;Bone Marrow,486.3831306246955
GSM611116,RELA,Macrophage;Bone Marrow,479.64471710513254
GSM2095115,RELA,Macrophage;Bone Marrow,473.816506077506
GSM788652,RELA,Macrophage;Bone Marrow,458.51316091821235
GSM851495,GRIP1,Macrophage;Bone Marrow,426.9847892613145
GSM2187861,NR3C1,Mammary Gland,423.14086120193406
GSM671417,STAT5B,Dendritic Cell;Spleen,420.19698951789724
GSM1215806,KMT2B,Preadipocyte;Adipose,413.251739046442
GSM2076704,NFE2L2,C2C12;Myoblast;Muscle,406.4760067292154
GSM1368006,CREBBP,3T3-L1;Preadipocyte;Adipose,404.7718824917079
GSM1183988,RELA,Macrophage;Peritoneum,404.0704802613225
GSM1875286,TFAP2A,Melan-a;Melanocyte,392.22106517772454
GSM2698329,TP53,Macrophage;Bone Marrow,385.8089502870643
GSM1601726,STAT3,T Lymphocyte,384.9094636263926
GSM1146466,FOXA1,Epithelium;Prostate,380.59294938419737
GSM1713754,KLF15,Embryonic Fibroblast,377.9487546389887
GSM2663832,SMARCA4,MIN;Macrophage;Bone Marrow,374.4319516793668
GSM1146465,FOXA1,Epithelium;Prostate,370.8233659534728
GSM2433220,AIRE,MECs;Thymus,368.5102440622762
GSM1713774,SOX10,Melan-a;Melanocyte,365.9306825809966
GSM1350478,T,Th17,364.69657336004286
GSM2515957,MED1,3T3-L1;Adipocyte,343.3436993859348
GSM860161,STAT5A,Fibroblast;Embryo,341.13786321558223
GSM2515956,MED1,3T3-L1;Adipocyte,338.8222801927304
GSM1854061,MED1,Pancreas,336.7224341341692
GSM2296681,STAT3,Macrophage;Bone Marrow,335.66612344169494
GSM2641053,RELA,372;T Lymphocyte;Lymph Node,331.9985175242564
GSM1713775,SOX10,Melan-a;Melanocyte,328.56652522872366
GSM881112,RELA,Dendritic Cell;Bone Marrow,327.09410302351324
GSM2718354,SOX2,Intermediate,324.4632517822506
GSM1004865,STAT3,Th17,319.29428840097063
GSM2102933,NR3C1,Mammary Gland,318.59564730895
GSM2417165,KLF4,MEFs;Embryonic Fibroblast,315.428965587364
GSM999804,IRF4,Dendritic Cell;Bone Marrow,311.1274301579488
GSM1288393,JUNB,Dendritic Cell,308.2195830347296
GSM2830298,STAT4,Natural Killer Cell;Spleen,305.7336735607579
GSM2641050,RELA,372;T Lymphocyte;Lymph Node,304.1010756845184
