GSM_ID,Factor,Biosource,GIGGLE_score
ENCSR854MCV_2,IRF1,K562;Erythroblast;Bone Marrow,1004.9784895027084
GSM2394412,IRF1,JHU-06;Endothelial Cell,932.0370939562384
GSM1057026,IRF1,Monocyte;Blood,898.9339441661646
GSM1816088,IRF2,Hematopoietic stem and progenitor cell;Bone Marrow,882.8730838070375
GSM2394413,IRF1,JHU-06;Endothelial Cell,763.7890404113481
ENCSR854MCV_1,IRF1,K562;Erythroblast;Bone Marrow,622.2341192017138
GSM1057027,IRF1,Monocyte;Blood,511.88747089172927
GSM935504,IRF1,K562;Erythroblast;Bone Marrow,494.83460034351236
GSM935382,RFX5,H1;Embryonic Stem Cell;Embryo,480.09845966195365
GSM935469,STAT2,K562;Erythroblast;Bone Marrow,477.47528495768233
GSM935556,RFX5,GM12878;B Lymphocyte;Blood,477.4326456880788
GSM935546,IRF1,K562;Erythroblast;Bone Marrow,470.5320656137735
GSM2735456,PRDM1,U266B1;Plasma Cell,381.13637397149324
GSM1057025,IRF1,Monocyte;Blood,378.88820180045997
GSM1003615,RFX5,IMR90;Fibroblast;Lung,378.7859020389257
GSM935565,RFX5,K562;Erythroblast;Bone Marrow,346.97659313529414
GSM1208672,RFX5,LoVo;Colon,334.08695997471057
GSM2359438,BRD4,A375;melanoma;Skin,323.90080618149545
GSM935471,STAT1,K562;Erythroblast;Bone Marrow,321.4574860761061
GSM970261,IRF2,Proerythroblast;Bone Marrow,303.4200429375867
GSM803534,POU2F2,GM12878;B Lymphocyte;Blood,302.6915911577825
GSM935488,STAT1,K562;Erythroblast;Bone Marrow,300.4010415407032
GSM1602232,CIITA,Raji;B Lymphocyte;Blood,298.0955142393394
GSM1010896,CREB1,H1;Embryonic Stem Cell;Embryo,286.8855268716248
GSM1003629,RFX5,SK-N-SH;Neuroblastoma cell;Brain,283.33197919307565
GSM486305,RELA,GM18951;Lymphoblastoid;Blood,265.1594325747717
GSM486288,RELA,GM15510;Lymphoblastoid;Blood,259.75084847790083
GSM486319,RELA,GM12878;B Lymphocyte;Blood,254.0084762797264
GSM1820477,POLR2A,HEK293;Epithelium;Embryonic Kidney,251.1187193200301
