# Analysis title: MHCI_chipseq_diff_peaks_top1k analysis from Cistrome-GO
# Mode: Solo mode
# Specie: hg38
# Peak bed file name: MHCI_chipseq_diff_peaks_top1k.bed
# Top peaks to use: 10000
# Half-decay distance: 1000bp
# FDR cutoff of GO/KEGG terms to return: 0.2
# Minimum and maximum gene number in GO and KEGG gene sets: 10, 2000
# Term	N,n,B,b	Erichment	p_value	FDR	Gene_number
positive regulation of insulin secretion involved in cellular response to glucose stimulus(GO:0035774)	16990, 124, 33, 1	4.152	0.21613718757	0.747805764193	33
organophosphate catabolic process(GO:0046434)	16990, 120, 161, 2	1.759	0.445836549306	1.0	161
CDP-diacylglycerol metabolic process(GO:0046341)	16990, 0, 14, 0	0.0	1.0	1.0	14
pyridine-containing compound biosynthetic process(GO:0072525)	16990, 120, 75, 1	1.888	0.418879718273	1.0	75
negative regulation of chemotaxis(GO:0050922)	16990, 34, 56, 1	8.923	0.159654691936	0.647903449019	56
NAD biosynthesis via nicotinamide riboside salvage pathway(GO:0034356)	16990, 0, 15, 0	0.0	1.0	1.0	15
dendrite development(GO:0016358)	16990, 0, 33, 0	0.0	1.0	1.0	33
amino sugar biosynthetic process(GO:0046349)	16990, 0, 13, 0	0.0	1.0	1.0	13
cofactor biosynthetic process(GO:0051188)	16990, 150, 227, 4	1.996	0.301392784818	0.898202784992	227
negative regulation of lymphocyte mediated immunity(GO:0002707)	16990, 0, 38, 0	0.0	1.0	1.0	38
regulation of lymphocyte mediated immunity(GO:0002706)	16990, 12, 148, 3	28.699	0.00058620305601	0.0447561380858	148
positive regulation of leukocyte mediated immunity(GO:0002705)	16990, 12, 131, 3	32.424	0.000419059990789	0.0349755526218	131
negative regulation of leukocyte mediated immunity(GO:0002704)	16990, 0, 48, 0	0.0	1.0	1.0	48
regulation of leukocyte mediated immunity(GO:0002703)	16990, 12, 202, 3	21.027	0.00149568276177	0.0763048142925	202
positive regulation of production of molecular mediator of immune response(GO:0002702)	16990, 2, 95, 1	89.421	0.0336853536782	0.370770140027	95
negative regulation of production of molecular mediator of immune response(GO:0002701)	16990, 0, 35, 0	0.0	1.0	1.0	35
regulation of production of molecular mediator of immune response(GO:0002700)	16990, 2, 139, 1	61.115	0.0495017687958	0.424758592946	139
regulation of steroid hormone secretion(GO:2000831)	16990, 0, 19, 0	0.0	1.0	1.0	19
establishment of mitochondrion localization(GO:0051654)	16990, 0, 23, 0	0.0	1.0	1.0	23
maintenance of organelle location(GO:0051657)	16990, 105, 11, 1	14.71	0.0663546078072	0.470745816449	11
establishment of organelle localization(GO:0051656)	16990, 76, 279, 2	1.603	0.555280029365	1.0	279
maintenance of location in cell(GO:0051651)	16990, 127, 93, 4	5.754	0.0123520741279	0.257201197209	93
hippo signaling(GO:0035329)	16990, 0, 27, 0	0.0	1.0	1.0	27
spindle localization(GO:0051653)	16990, 105, 42, 1	3.853	0.234559531899	0.784583691541	42
positive regulation of lymphocyte mediated immunity(GO:0002708)	16990, 12, 104, 3	40.841	0.000214712257414	0.0229503546258	104
renal water homeostasis(GO:0003091)	16990, 72, 32, 1	7.374	0.136319652621	0.596585393692	32
positive regulation of cytoskeleton organization(GO:0051495)	16990, 14, 210, 1	5.779	0.315441096866	0.92331738015	210
negative regulation of cytoskeleton organization(GO:0051494)	16990, 0, 133, 0	0.0	1.0	1.0	133
regulation of cytoskeleton organization(GO:0051493)	16990, 14, 516, 1	2.352	0.633402621904	1.0	516
positive regulation of filopodium assembly(GO:0051491)	16990, 0, 30, 0	0.0	1.0	1.0	30
regulation of granulocyte differentiation(GO:0030852)	16990, 60, 15, 1	18.878	0.0546008837346	0.432542310357	15
prostate gland development(GO:0030850)	16990, 0, 11, 0	0.0	1.0	1.0	11
granulocyte differentiation(GO:0030851)	16990, 0, 18, 0	0.0	1.0	1.0	18
regulation of epithelial cell differentiation(GO:0030856)	16990, 127, 139, 3	2.887	0.176070653865	0.670838015899	139
negative regulation of epithelial cell differentiation(GO:0030857)	16990, 127, 39, 1	3.43	0.255255263195	0.816341632957	39
epithelial cell differentiation(GO:0030855)	16990, 15, 314, 2	7.214	0.099053281582	0.533352950798	314
regulation of protein sumoylation(GO:0033233)	16990, 0, 21, 0	0.0	1.0	1.0	21
positive regulation of epithelial cell differentiation(GO:0030858)	16990, 69, 58, 1	4.245	0.237697075639	0.790133333672	58
polarized epithelial cell differentiation(GO:0030859)	16990, 0, 19, 0	0.0	1.0	1.0	19
protoporphyrinogen IX metabolic process(GO:0046501)	16990, 0, 11, 0	0.0	1.0	1.0	11
S-adenosylmethionine metabolic process(GO:0046500)	16990, 0, 15, 0	0.0	1.0	1.0	15
glycerolipid catabolic process(GO:0046503)	16990, 0, 51, 0	0.0	1.0	1.0	51
regulation of trophoblast cell migration(GO:1901163)	16990, 0, 11, 0	0.0	1.0	1.0	11
base-excision repair(GO:0006284)	16990, 0, 33, 0	0.0	1.0	1.0	33
pH reduction(GO:0045851)	16990, 51, 34, 1	9.798	0.113593113001	0.551646878731	34
axon regeneration(GO:0031103)	16990, 0, 21, 0	0.0	1.0	1.0	21
neuron projection regeneration(GO:0031102)	16990, 0, 27, 0	0.0	1.0	1.0	27
animal organ regeneration(GO:0031100)	16990, 0, 76, 0	0.0	1.0	1.0	76
social behavior(GO:0035176)	16990, 0, 54, 0	0.0	1.0	1.0	54
regulation of protein kinase activity(GO:0045859)	16990, 134, 763, 9	1.496	0.408081377219	1.0	763
microtubule polymerization or depolymerization(GO:0031109)	16990, 0, 31, 0	0.0	1.0	1.0	31
nucleotide-excision repair(GO:0006289)	16990, 40, 103, 1	4.124	0.318345093903	0.927462084599	103
defense response to fungus(GO:0050832)	16990, 0, 34, 0	0.0	1.0	1.0	34
defense response to Gram-positive bacterium(GO:0050830)	16990, 121, 85, 4	6.608	0.00770340135767	0.198146312997	85
regulation of cell-substrate adhesion(GO:0010810)	16990, 18, 205, 1	4.604	0.357004400208	0.994896387602	205
response to histamine(GO:0034776)	16990, 0, 11, 0	0.0	1.0	1.0	11
regulation of acute inflammatory response(GO:0002673)	16990, 132, 43, 1	2.993	0.286250001989	0.870105775703	43
amino sugar catabolic process(GO:0046348)	16990, 0, 12, 0	0.0	1.0	1.0	12
negative regulation of inclusion body assembly(GO:0090084)	16990, 0, 11, 0	0.0	1.0	1.0	11
positive regulation of acute inflammatory response(GO:0002675)	16990, 0, 29, 0	0.0	1.0	1.0	29
regulation of cold-induced thermogenesis(GO:0120161)	16990, 22, 143, 1	5.401	0.295590929021	0.889061186658	143
cellular modified amino acid metabolic process(GO:0006575)	16990, 80, 187, 1	1.136	0.669528569907	1.0	187
ruffle assembly(GO:0097178)	16990, 0, 13, 0	0.0	1.0	1.0	13
amino-acid betaine metabolic process(GO:0006577)	16990, 0, 18, 0	0.0	1.0	1.0	18
positive regulation of axonogenesis(GO:0050772)	16990, 0, 83, 0	0.0	1.0	1.0	83
positive regulation of telomere maintenance via telomere lengthening(GO:1904358)	16990, 0, 37, 0	0.0	1.0	1.0	37
regulation of gene expression, epigenetic(GO:0040029)	16990, 79, 191, 1	1.126	0.676355352587	1.0	191
regulation of nuclear division(GO:0051783)	16990, 122, 205, 1	0.679	0.786793612936	1.0	205
negative regulation of cell division(GO:0051782)	16990, 105, 16, 1	10.113	0.0953413191364	0.527195789458	16
positive regulation of cell division(GO:0051781)	16990, 0, 86, 0	0.0	1.0	1.0	86
dicarboxylic acid catabolic process(GO:0043649)	16990, 0, 18, 0	0.0	1.0	1.0	18
mRNA splice site selection(GO:0006376)	16990, 82, 30, 1	6.907	0.14143582613	0.606333621823	30
positive regulation of nuclear division(GO:0051785)	16990, 0, 64, 0	0.0	1.0	1.0	64
negative regulation of nuclear division(GO:0051784)	16990, 0, 48, 0	0.0	1.0	1.0	48
positive regulation of leukocyte adhesion to vascular endothelial cell(GO:1904996)	16990, 0, 12, 0	0.0	1.0	1.0	12
regulation of leukocyte adhesion to vascular endothelial cell(GO:1904994)	16990, 0, 17, 0	0.0	1.0	1.0	17
mRNA cleavage(GO:0006379)	16990, 0, 25, 0	0.0	1.0	1.0	25
positive regulation of supramolecular fiber organization(GO:1902905)	16990, 14, 189, 1	6.421	0.285490264628	0.869669520494	189
regulation of transcription initiation from RNA polymerase II promoter(GO:0060260)	16990, 0, 27, 0	0.0	1.0	1.0	27
positive regulation of transcription initiation from RNA polymerase II promoter(GO:0060261)	16990, 0, 19, 0	0.0	1.0	1.0	19
regulation of cell aging(GO:0090342)	16990, 114, 46, 1	3.24	0.270522454596	0.847971194821	46
positive regulation of cell aging(GO:0090343)	16990, 0, 13, 0	0.0	1.0	1.0	13
negative regulation of cell aging(GO:0090344)	16990, 114, 24, 1	6.21	0.150538202992	0.62475302536	24
mitotic sister chromatid cohesion(GO:0007064)	16990, 0, 12, 0	0.0	1.0	1.0	12
embryonic digestive tract development(GO:0048566)	16990, 0, 17, 0	0.0	1.0	1.0	17
embryonic organ development(GO:0048568)	16990, 69, 127, 2	3.878	0.191334343492	0.703069665544	127
thyroid hormone generation(GO:0006590)	16990, 0, 11, 0	0.0	1.0	1.0	11
antibiotic catabolic process(GO:0017001)	16990, 0, 53, 0	0.0	1.0	1.0	53
polyamine biosynthetic process(GO:0006596)	16990, 0, 13, 0	0.0	1.0	1.0	13
embryonic camera-type eye development(GO:0031076)	16990, 0, 12, 0	0.0	1.0	1.0	12
cytochrome complex assembly(GO:0017004)	16990, 0, 34, 0	0.0	1.0	1.0	34
polyamine metabolic process(GO:0006595)	16990, 0, 18, 0	0.0	1.0	1.0	18
regulation of glucose metabolic process(GO:0010906)	16990, 23, 111, 2	13.31	0.0280619116731	0.342583236415	111
positive regulation of glucose metabolic process(GO:0010907)	16990, 23, 40, 2	36.935	0.00265851422401	0.097614148225	40
histone H3-K9 modification(GO:0061647)	16990, 0, 15, 0	0.0	1.0	1.0	15
regulation of small molecule metabolic process(GO:0062012)	16990, 45, 351, 3	3.227	0.193814913082	0.705874916777	351
uterus development(GO:0060065)	16990, 0, 16, 0	0.0	1.0	1.0	16
phosphate ion transmembrane transport(GO:0035435)	16990, 149, 15, 1	7.602	0.123825753207	0.570004065726	15
determination of adult lifespan(GO:0008340)	16990, 0, 17, 0	0.0	1.0	1.0	17
tetrahydrofolate metabolic process(GO:0046653)	16990, 0, 19, 0	0.0	1.0	1.0	19
regulation of response to oxidative stress(GO:1902882)	16990, 137, 81, 1	1.531	0.483312528638	1.0	81
folic acid metabolic process(GO:0046655)	16990, 0, 20, 0	0.0	1.0	1.0	20
monocarboxylic acid biosynthetic process(GO:0072330)	16990, 120, 205, 2	1.381	0.569772810988	1.0	205
peptide hormone secretion(GO:0030072)	16990, 0, 59, 0	0.0	1.0	1.0	59
intrinsic apoptotic signaling pathway by p53 class mediator(GO:0072332)	16990, 23, 49, 1	15.075	0.108408670364	0.548997873405	49
superoxide anion generation(GO:0042554)	16990, 14, 14, 1	86.684	0.0171714585222	0.291041096822	14
positive regulation of histone deacetylation(GO:0031065)	16990, 0, 17, 0	0.0	1.0	1.0	17
neuron maturation(GO:0042551)	16990, 0, 24, 0	0.0	1.0	1.0	24
imidazole-containing compound metabolic process(GO:0052803)	16990, 0, 12, 0	0.0	1.0	1.0	12
pteridine-containing compound metabolic process(GO:0042558)	16990, 0, 35, 0	0.0	1.0	1.0	35
pteridine-containing compound biosynthetic process(GO:0042559)	16990, 0, 15, 0	0.0	1.0	1.0	15
pigment granule localization(GO:0051875)	16990, 76, 24, 1	9.315	0.106949098234	0.548438392825	24
snoRNA processing(GO:0043144)	16990, 0, 13, 0	0.0	1.0	1.0	13
synapse maturation(GO:0060074)	16990, 0, 12, 0	0.0	1.0	1.0	12
energy reserve metabolic process(GO:0006112)	16990, 36, 62, 1	7.612	0.18422113734	0.686482891247	62
