# Analysis title: MHCI_chipseq_diff_peaks_top1k analysis from Cistrome-GO
# Mode: Solo mode
# Specie: hg38
# Peak bed file name: MHCI_chipseq_diff_peaks_top1k.bed
# Top peaks to use: 10000
# Half-decay distance: 1000bp
# FDR cutoff of GO/KEGG terms to return: 0.2
# Minimum and maximum gene number in GO and KEGG gene sets: 10, 2000
# Term	N,n,B,b	Erichment	p_value	FDR	Gene_number
Pertussis(hsa05133)	7753, 38, 76, 2	5.369	0.11346349076	0.701158813833	76
Hippo signaling pathway - multiple species(hsa04392)	7753, 0, 29, 0	0.0	1.0	1.0	29
Retinol metabolism(hsa00830)	7753, 0, 67, 0	0.0	1.0	1.0	67
MAPK signaling pathway(hsa04010)	7753, 66, 295, 4	1.593	0.480599042968	1.0	295
Protein export(hsa03060)	7753, 0, 23, 0	0.0	1.0	1.0	23
Intestinal immune network for IgA production(hsa04672)	7753, 35, 47, 4	18.852	0.000176806216303	0.00310393135288	47
Leukocyte transendothelial migration(hsa04670)	7753, 0, 112, 0	0.0	1.0	1.0	112
Phenylalanine metabolism(hsa00360)	7753, 95, 17, 1	4.801	0.189262642503	0.901002215511	17
AGE-RAGE signaling pathway in diabetic complications(hsa04933)	7753, 15, 100, 1	5.169	0.293982994158	0.947945164836	100
Parathyroid hormone synthesis, secretion and action(hsa04928)	7753, 47, 106, 2	3.112	0.255807971103	0.947945164836	106
Cortisol synthesis and secretion(hsa04927)	7753, 47, 65, 1	2.538	0.36905702207	1.0	65
Relaxin signaling pathway(hsa04926)	7753, 47, 130, 1	1.269	0.6367568899	1.0	130
Aldosterone synthesis and secretion(hsa04925)	7753, 47, 98, 1	1.683	0.519134112062	1.0	98
Renin secretion(hsa04924)	7753, 47, 69, 1	2.391	0.388819734582	1.0	69
Regulation of lipolysis in adipocytes(hsa04923)	7753, 47, 54, 1	3.055	0.312559071862	0.964439586593	54
Glucagon signaling pathway(hsa04922)	7753, 47, 103, 2	3.203	0.246220545274	0.947945164836	103
Oxytocin signaling pathway(hsa04921)	7753, 47, 153, 1	1.078	0.705623725809	1.0	153
Adipocytokine signaling pathway(hsa04920)	7753, 26, 69, 2	8.643	0.052112007849	0.433352486324	69
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis(hsa00563)	7753, 0, 25, 0	0.0	1.0	1.0	25
Inositol phosphate metabolism(hsa00562)	7753, 0, 74, 0	0.0	1.0	1.0	74
Glycerolipid metabolism(hsa00561)	7753, 0, 61, 0	0.0	1.0	1.0	61
Circadian entrainment(hsa04713)	7753, 47, 97, 1	1.701	0.515022277365	1.0	97
Ether lipid metabolism(hsa00565)	7753, 51, 46, 1	3.305	0.283261798011	0.947945164836	46
Glycerophospholipid metabolism(hsa00564)	7753, 92, 96, 2	1.756	0.436140231946	1.0	96
Ribosome biogenesis in eukaryotes(hsa03008)	7753, 0, 79, 0	0.0	1.0	1.0	79
Thermogenesis(hsa04714)	7753, 47, 218, 2	1.513	0.582610852199	1.0	218
Endocrine resistance(hsa01522)	7753, 47, 96, 1	1.718	0.510883314779	1.0	96
Antifolate resistance(hsa01523)	7753, 0, 31, 0	0.0	1.0	1.0	31
Platinum drug resistance(hsa01524)	7753, 21, 73, 1	5.057	0.274661493992	0.947945164836	73
Herpes simplex virus 1 infection(hsa05168)	7753, 35, 490, 9	4.069	0.00140015730069	0.018435404459	490
Epstein-Barr virus infection(hsa05169)	7753, 35, 199, 9	10.018	9.16364954177e-07	3.21745917244e-05	199
Influenza A(hsa05164)	7753, 79, 169, 10	5.807	3.84632303878e-05	0.000810292053504	169
Human papillomavirus infection(hsa05165)	7753, 16, 330, 3	4.405	0.0897451055219	0.668247036183	330
Human T-cell leukemia virus 1 infection(hsa05166)	7753, 47, 218, 8	6.053	0.000230257845233	0.00382955153125	218
Kaposi sarcoma-associated herpesvirus infection(hsa05167)	7753, 31, 186, 3	4.034	0.105874967184	0.701158813833	186
Hepatitis C(hsa05160)	7753, 10, 155, 1	5.002	0.342731412215	1.0	155
Hepatitis B(hsa05161)	7753, 0, 163, 0	0.0	1.0	1.0	163
Measles(hsa05162)	7753, 66, 131, 3	2.69	0.2156240811	0.946350133715	131
Human cytomegalovirus infection(hsa05163)	7753, 22, 225, 4	6.265	0.0129128122998	0.127514021461	225
Proteasome(hsa03050)	7753, 13, 45, 1	13.253	0.122120661113	0.701158813833	45
Sphingolipid signaling pathway(hsa04071)	7753, 0, 119, 0	0.0	1.0	1.0	119
GnRH signaling pathway(hsa04912)	7753, 47, 93, 1	1.774	0.498303288038	1.0	93
Ovarian steroidogenesis(hsa04913)	7753, 47, 49, 1	3.366	0.285874475682	0.947945164836	49
Rap1 signaling pathway(hsa04015)	7753, 41, 206, 1	0.918	0.781926763439	1.0	206
Ras signaling pathway(hsa04014)	7753, 51, 231, 2	1.316	0.650180726885	1.0	231
Hippo signaling pathway(hsa04390)	7753, 0, 154, 0	0.0	1.0	1.0	154
Prolactin signaling pathway(hsa04917)	7753, 0, 70, 0	0.0	1.0	1.0	70
Progesterone-mediated oocyte maturation(hsa04914)	7753, 47, 99, 2	3.332	0.235271130312	0.947945164836	99
Estrogen signaling pathway(hsa04915)	7753, 66, 137, 3	2.572	0.232929856243	0.947945164836	137
Circadian rhythm(hsa04710)	7753, 0, 31, 0	0.0	1.0	1.0	31
Thyroid hormone synthesis(hsa04918)	7753, 47, 74, 1	2.229	0.41292111502	1.0	74
Thyroid hormone signaling pathway(hsa04919)	7753, 47, 116, 2	2.844	0.290153505991	0.947945164836	116
AMPK signaling pathway(hsa04152)	7753, 20, 120, 1	3.23	0.405128777811	1.0	120
mTOR signaling pathway(hsa04150)	7753, 70, 153, 1	0.724	0.775381982299	1.0	153
PI3K-Akt signaling pathway(hsa04151)	7753, 87, 353, 2	0.505	0.95511505589	1.0	353
Lysine degradation(hsa00310)	7753, 0, 59, 0	0.0	1.0	1.0	59
Tight junction(hsa04530)	7753, 47, 170, 2	1.941	0.455471296921	1.0	170
Oxidative phosphorylation(hsa00190)	7753, 0, 120, 0	0.0	1.0	1.0	120
Basal transcription factors(hsa03022)	7753, 0, 45, 0	0.0	1.0	1.0	45
Phosphatidylinositol signaling system(hsa04070)	7753, 0, 99, 0	0.0	1.0	1.0	99
Fatty acid metabolism(hsa01212)	7753, 80, 53, 1	1.829	0.426638728395	1.0	53
Glycosphingolipid biosynthesis - ganglio series(hsa00604)	7753, 0, 15, 0	0.0	1.0	1.0	15
Glycosphingolipid biosynthesis - globo and isoglobo series(hsa00603)	7753, 0, 15, 0	0.0	1.0	1.0	15
Sphingolipid metabolism(hsa00600)	7753, 0, 47, 0	0.0	1.0	1.0	47
Glycosphingolipid biosynthesis - lacto and neolacto series(hsa00601)	7753, 67, 26, 1	4.451	0.205449239101	0.91439379656	26
Alanine, aspartate and glutamate metabolism(hsa00250)	7753, 0, 35, 0	0.0	1.0	1.0	35
Neurotrophin signaling pathway(hsa04722)	7753, 0, 119, 0	0.0	1.0	1.0	119
Necroptosis(hsa04217)	7753, 68, 162, 5	3.519	0.0389594376763	0.332734656911	162
Axon guidance(hsa04360)	7753, 25, 181, 1	1.713	0.616334515357	1.0	181
Retrograde endocannabinoid signaling(hsa04723)	7753, 62, 141, 2	1.774	0.467977864469	1.0	141
Glycolysis / Gluconeogenesis(hsa00010)	7753, 71, 68, 1	1.606	0.476543937431	1.0	68
Neuroactive ligand-receptor interaction(hsa04080)	7753, 42, 337, 1	0.548	0.925200564637	1.0	337
Metabolic pathways(hsa01100)	7753, 84, 1248, 8	0.592	0.998113365076	1.0	1248
Human immunodeficiency virus 1 infection(hsa05170)	7753, 22, 212, 4	6.649	0.0108677503783	0.11078093934	212
Th17 cell differentiation(hsa04659)	7753, 35, 106, 5	10.449	0.000375604634102	0.00593455321881	106
Th1 and Th2 cell differentiation(hsa04658)	7753, 35, 91, 4	9.737	0.00239219415811	0.0290743597678	91
Signaling pathways regulating pluripotency of stem cells(hsa04550)	7753, 88, 139, 1	0.634	0.799629916019	1.0	139
Spliceosome(hsa03040)	7753, 66, 133, 3	2.65	0.220601822614	0.947945164836	133
cGMP-PKG signaling pathway(hsa04022)	7753, 0, 166, 0	0.0	1.0	1.0	166
Natural killer cell mediated cytotoxicity(hsa04650)	7753, 14, 126, 2	8.79	0.0633695136168	0.500619157573	126
Calcium signaling pathway(hsa04020)	7753, 47, 187, 1	0.882	0.786638678725	1.0	187
Ubiquitin mediated proteolysis(hsa04120)	7753, 37, 137, 1	1.529	0.612596874933	1.0	137
PPAR signaling pathway(hsa03320)	7753, 80, 74, 2	2.619	0.269872402471	0.947945164836	74
cAMP signaling pathway(hsa04024)	7753, 47, 212, 1	0.778	0.82754351329	1.0	212
Fluid shear stress and atherosclerosis(hsa05418)	7753, 78, 139, 2	1.43	0.547842728769	1.0	139
Autophagy - animal(hsa04140)	7753, 59, 127, 2	2.069	0.397932355476	1.0	127
Lysosome(hsa04142)	7753, 53, 123, 2	2.379	0.353327216265	1.0	123
Phagosome(hsa04145)	7753, 35, 149, 7	10.407	1.75650552962e-05	0.000426965959507	149
Endocytosis(hsa04144)	7753, 78, 244, 6	2.444	0.117924091062	0.701158813833	244
Nitrogen metabolism(hsa00910)	7753, 0, 17, 0	0.0	1.0	1.0	17
Osteoclast differentiation(hsa04380)	7753, 53, 127, 2	2.304	0.366735059424	1.0	127
Hypertrophic cardiomyopathy (HCM)(hsa05410)	7753, 0, 85, 0	0.0	1.0	1.0	85
Arrhythmogenic right ventricular cardiomyopathy (ARVC)(hsa05412)	7753, 0, 72, 0	0.0	1.0	1.0	72
Dilated cardiomyopathy (DCM)(hsa05414)	7753, 47, 90, 1	1.833	0.485477907254	1.0	90
Thiamine metabolism(hsa00730)	7753, 0, 16, 0	0.0	1.0	1.0	16
Viral myocarditis(hsa05416)	7753, 85, 57, 8	12.802	6.1269358847e-07	2.42013967446e-05	57
Graft-versus-host disease(hsa05332)	7753, 35, 38, 6	34.976	5.31962307411e-08	4.20250222855e-06	38
Longevity regulating pathway(hsa04211)	7753, 47, 89, 2	3.707	0.199167969701	0.910034852173	89
Protein processing in endoplasmic reticulum(hsa04141)	7753, 83, 165, 3	1.698	0.4321105408	1.0	165
Steroid hormone biosynthesis(hsa00140)	7753, 0, 60, 0	0.0	1.0	1.0	60
Chagas disease (American trypanosomiasis)(hsa05142)	7753, 79, 103, 1	0.953	0.660768489301	1.0	103
African trypanosomiasis(hsa05143)	7753, 0, 36, 0	0.0	1.0	1.0	36
Leishmaniasis(hsa05140)	7753, 35, 72, 4	12.306	0.00105923788653	0.0145530074845	72
Amoebiasis(hsa05146)	7753, 47, 94, 1	1.755	0.502523854134	1.0	94
Non-homologous end-joining(hsa03450)	7753, 0, 13, 0	0.0	1.0	1.0	13
Malaria(hsa05144)	7753, 85, 49, 1	1.861	0.41935186238	1.0	49
Toxoplasmosis(hsa05145)	7753, 85, 112, 7	5.701	0.000936085298445	0.0134455888322	112
Focal adhesion(hsa04510)	7753, 78, 199, 2	0.999	0.732313493694	1.0	199
Tryptophan metabolism(hsa00380)	7753, 95, 42, 1	1.943	0.4050043218	1.0	42
Wnt signaling pathway(hsa04310)	7753, 47, 158, 1	1.044	0.719010983019	1.0	158
Citrate cycle (TCA cycle)(hsa00020)	7753, 0, 30, 0	0.0	1.0	1.0	30
