,Vehicle_S1,Vehicle_S2,Vehicle_S9,SMAC_S3,SMAC_S11,SMAC_S12,ICB_S5,ICB_S13,ICB_S14,SMAC+ICB_S7,SMAC+ICB_S8,SMAC+ICB_S15
mt-Co1,13.4397145193424,13.0644240870178,13.4532300258034,13.2535550711279,13.6056663070375,13.468155181529,13.5128147069861,13.4895924330825,13.6550163535645,13.4825331667314,12.5973106034777,13.6613830391413
Eef1a1,13.281807654476,13.4431303421661,13.1444256879782,13.9643114423154,13.2637315674941,13.2048830292333,13.3413351468307,13.2042248241635,13.3072170316049,13.6186548056904,13.1908147422657,13.2297095884529
Gapdh,13.5056108624722,13.4798576664234,13.4626497018151,13.3402384501744,13.4770063742466,13.2099686836219,13.3831569724407,13.5298886794104,13.2632805454039,13.2411118562555,13.2285784105842,12.845395160818
Dct,12.758416084823,12.9376742579657,12.7158231240622,13.0926676997836,12.6439023011524,12.7917138545008,12.9007904581707,12.325559196941,12.8780087852326,12.8283655107851,12.8031181213517,12.4852590137781
Eno1,12.8345141587242,12.7140081366316,12.8292663148304,12.595287819887,12.7711455255578,12.684065255003,12.6205965933868,12.8200203633336,12.5709646676314,12.5337004630395,12.496023638203,12.2626675885044
Tyrp1,12.0763932199872,12.7755922980762,12.0395309967712,12.5429758914519,12.4856220214688,12.5877596335417,12.8081502725171,12.106130000534,12.8296094878649,12.8758625657184,13.0548218819744,12.9986359496167
Pkm,12.4610835729342,12.3913448225811,12.4438167012777,12.2280520191364,12.4358418305251,12.2584165102204,12.3331697461769,12.5184738395847,12.2624865605908,12.1540031886171,12.2621961061735,11.7304888760678
Ftl1,11.9636409190359,12.3547198763557,11.9445939981322,12.5051651409744,12.1274258336171,12.159842377747,12.0793282728298,12.0030542988318,12.6670967628155,12.070007404917,12.222008715371,12.2911981681348
Gpnmb,11.9287764267852,11.932677754154,11.9611088715641,11.9071967531841,12.1926849771973,11.9782019436602,12.4081596518347,12.5041399299177,12.2311890525053,12.4698685098761,12.3785151504018,12.2842492868787
mt-Cytb,11.7982281134997,11.7763009070255,11.9672155424724,11.9213080825338,12.3059693047552,12.2408871881536,11.8432840873113,11.8974704322551,12.2408593371454,11.8431867435818,10.9898495438803,12.3505911617813
Pgk1,12.0270069985098,11.9427914374219,12.0334767597702,12.1973370296938,11.9837937105854,11.8049439953451,11.9818853703959,12.0648446798775,11.8484388584374,12.0672530666403,11.7145641021175,11.1945286045115
Aldoa,11.9048280944887,11.9477266657566,11.8977639088813,12.02625568227,11.9549575516321,11.7917038386486,12.0219745106275,11.956776196152,12.0051251490347,11.9432892333771,11.9294749041137,11.3247989295872
Pmel,11.3964545918227,12.0453375611916,11.3661963803989,11.7907358103249,11.5634970609001,11.8071917713042,11.9332050721121,11.4312468261379,12.2178851819012,11.8597109333166,12.1966276102662,11.946139106482
Actg1,11.7596809931228,12.0176240356406,11.698091252602,11.41877270042,11.7731639658986,11.5933517867544,11.7021577913032,11.6713429496288,11.9475926484417,11.6384204324657,11.8518956620561,11.3136516144541
Hsp90ab1,11.6882877732658,11.7936745722745,11.6107674678123,11.6288800426663,11.7199598376538,11.5945005391169,11.694008688686,11.7429109677953,11.6990307975885,11.6553625771908,11.7012109502727,11.5779536289458
Atp1a1,11.904253548885,11.904499347273,11.8694713910868,11.1926372056973,11.604846498845,11.6596100898218,11.7631099006721,11.7806110639917,11.6235392279733,11.2873223772767,11.6300779224293,11.5644549732885
Eef2,11.8591751317433,11.8377217917655,11.8581086365268,11.1648557146738,11.6897220580866,11.6248162937858,11.7450643673617,11.7576090920501,11.5815418963189,11.4243596132325,11.6204407759585,11.3371112412338
Hspa8,11.0927678755014,11.267070637113,11.3943856137457,11.761516273752,11.7240602078909,11.3270637493988,11.6158022129313,11.6872711957246,11.8222312310507,11.891951674651,11.8111678871756,11.5982673181052
