cell_type,Vehicle_S1,Vehicle_S2,Vehicle_S9,SMAC_S3,SMAC_S11,SMAC_S12,ICB_S5,ICB_S13,ICB_S14,SMAC+ICB_S7,SMAC+ICB_S8,SMAC+ICB_S15
B cell_TIMER,0.097211108812096,0.0995443614571875,0.0981597346472307,0.0949799514888223,0.0937182852120798,0.0964328675895077,0.0943444430489969,0.0962407281991983,0.0967740110976664,0.0937042413978159,0.0954887649364172,0.0936438859327257
T cell CD4+_TIMER,0.114656883784879,0.115436831837293,0.113537168005253,0.105310217823774,0.108658468877782,0.109235362351189,0.104518415449968,0.106498790318924,0.107585576047669,0.103082582103435,0.106313378922666,0.107124945294474
T cell CD8+_TIMER,0.201462773689763,0.199590684746296,0.207783769185306,0.222933911665934,0.217592592840279,0.217106480102461,0.235365588464971,0.226981715894358,0.225151730475851,0.240817831315553,0.23687051892821,0.224940848771544
Neutrophil_TIMER,0.127268855302423,0.128140710113287,0.128001713086081,0.130663495125139,0.130683911679077,0.129832203837538,0.132822384276281,0.131929231191183,0.130348945772541,0.132665319871168,0.133487865203383,0.133586443230351
Macrophage_TIMER,0.0551302721976151,0.058135034130807,0.0569541299460267,0.0599037594077603,0.0549227579460167,0.0602076751995229,0.0586082949673166,0.0579123745402324,0.0583761397836594,0.0594010302437749,0.0604818763725009,0.0586537000465635
Myeloid dendritic cell_TIMER,0.478781871378088,0.4784633412433,0.482233211463303,0.489859258500222,0.488575925196773,0.485853729894976,0.49355267373776,0.491041557533811,0.491565386640043,0.494872251586739,0.495898690961463,0.492683983697802
B cell naive_CIBERSORT,0,0,0,0,0,0.00131076677297015,0,0.126368484361184,0.0295771853630336,0.0560413176454117,0,0.0539945286414087
B cell memory_CIBERSORT,0,0.0741827889714253,0,0.0680551837524509,0,0,0.1078157624573,0,0,0,0.0249115707617571,0
B cell plasma_CIBERSORT,0.274522072615474,0.0698310869544832,0.122115249247861,0.0689162759953226,0.0371871579553506,0.0522794198298273,0.00692878086895399,0,0.0205086303132597,0,0.0155172899511854,0
T cell CD8+_CIBERSORT,0,0,0,0.0470515136932301,0.0222039745591845,0.00381842010367271,0.0489108580994499,0,0,0.0192739270060775,0.0952473697097485,0
T cell CD4+ naive_CIBERSORT,0,0,0,0,0,0,0,0,0,0,0,0
T cell CD4+ memory resting_CIBERSORT,0.248879611739935,0.337544514376387,0.310368685982056,0.30229368289685,0.199231172001602,0.29928067562927,0.229527543884922,0.0943753511143757,0.254869636723993,0.0279115101320402,0.160123620303997,0.0409818174027007
T cell CD4+ memory activated_CIBERSORT,0,0,0,0,0,0,0,0,0,0.0196965454753112,0,0
T cell follicular helper_CIBERSORT,0.02148383703163,0,0.117848969262479,0,0.00270917089324257,0,0,0.035218974903107,0,0.00969044516960372,0,0
T cell regulatory (Tregs)_CIBERSORT,0,0,0,0.0457619451569083,0,0,0.0527396274692109,0,0,0,0.0448466709874607,0
T cell gamma delta_CIBERSORT,0,0,0,0,0,0,0,0,0,0,0,0
NK cell resting_CIBERSORT,0,0.0116971578253343,0,0,0,0.0892097811610334,0.0622752813354576,0.0383597911789191,0,0.0438753364149056,0.0156801161345033,0.032003478605282
NK cell activated_CIBERSORT,0.0371992758771364,0.011818359092775,0,0.0819694648761007,0.0682409493613286,0,0.120452060680261,0.0263691259767763,0.0721364095565969,0.0145925497491385,0.113640303234554,0
Monocyte_CIBERSORT,0.157464035266622,0,0.0286681729080783,0.0393619606704211,0.0374078875184177,0.0637871365005413,0.0350999160755927,0.0904921333211363,0,0.103644052191623,0.0276636608118238,0
Macrophage M0_CIBERSORT,0,0,0,0.0492709539042625,0,0,0,0,0,0.0163283517222242,0.0352681163387815,0.151216307123287
Macrophage M1_CIBERSORT,0.00628807837260019,0.0381598867520853,0.0340615046960658,0.0296798449115215,0.140433073448497,0.0410384968258699,0.0407859377278779,0.18651690996997,0.20865573583955,0.166747907853178,0.167879598468559,0.0312257784024476
Macrophage M2_CIBERSORT,0,0,0,0,0,0,0,0.00798993379786955,0,0,0,0.144932274663042
Myeloid dendritic cell resting_CIBERSORT,0.0155851591068924,0.327351390160933,0.262893947535303,0.0666805964042213,0.376530545840352,0.31350071274709,0.0523154849818093,0.24228044209371,0.334010542932799,0.401423185099423,0.0450768859893946,0.13986260027111
Myeloid dendritic cell activated_CIBERSORT,0,0,0,0,0,0,0,0,0,0,0,0
Mast cell activated_CIBERSORT,0.158392533818964,0.126755823798798,0.124043470368156,0.185575202911231,0.0631460457151412,0.135774590429725,0.243148746419165,0.113465800619187,0.0601615442306184,0.11399928408398,0.22560165206896,0.100942716966307
Mast cell resting_CIBERSORT,0,0,0,0,0.0460534252546176,0,0,0,0,0,0,0.262985712548473
Eosinophil_CIBERSORT,0.0801853961707467,0.00265899206777869,0,0.0153833748274798,0.00685659745226569,0,0,0.0385630526637646,0.020080315040149,0.00677558745708302,0.0285431452392742,0
Neutrophil_CIBERSORT,0,0,0,0,0,0,0,0,0,0,0,0.0418547853759416
B cell naive_CIBERSORT-ABS,0,0,0,0,0,6.1630628737535e-05,0,0.00927698937850625,0.00200004958109984,0.00502973164742689,0,0.00546376917340383
B cell memory_CIBERSORT-ABS,0,0.00225888099649648,0,0.00369903133628446,0,0,0.00869633202085281,0,0,0,0.00299138698540872,0
B cell plasma_CIBERSORT-ABS,0.00613947127255055,0.00212637078591014,0.00420314095091315,0.00374583463640337,0.00175295074631304,0.00245811351080012,0.000558869849480687,0,0.00138682153029451,0,0.00186331964582691,0
T cell CD8+_CIBERSORT-ABS,0,0,0,0.00255741023643342,0.00104666438401588,0.000179537379666818,0.00394511017464714,0,0,0.001729842992737,0.011437325444831,0
T cell CD4+ naive_CIBERSORT-ABS,0,0,0,0,0,0,0,0,0,0,0,0
T cell CD4+ memory resting_CIBERSORT-ABS,0.00556599770664391,0.0102782990444071,0.0106827226080868,0.0164306926253214,0.00939147950129324,0.0140718063566951,0.0185135056698659,0.00692830284628933,0.0172346321635457,0.00250506968317317,0.0192276801175952,0.00414699778346096
T cell CD4+ memory activated_CIBERSORT-ABS,0,0,0,0,0,0,0,0,0,0.00176777317672984,0,0
T cell follicular helper_CIBERSORT-ABS,0.000480469198790448,0,0.00405629789711711,0,0.000127706536350563,0,0,0.00258550268882041,0,0.00086972149826319,0,0
T cell regulatory (Tregs)_CIBERSORT-ABS,0,0,0,0.00248731778846513,0,0,0.0042539356089977,0,0,0,0.00538519827648693,0
T cell gamma delta_CIBERSORT-ABS,0,0,0,0,0,0,0,0,0,0,0,0
NK cell resting_CIBERSORT-ABS,0,0.00035618083238749,0,0,0,0.00419453331887105,0.00502307372170781,0.00281607694456022,0,0.00393782975453683,0.00188287185031531,0.00323846923466109
NK cell activated_CIBERSORT-ABS,0.000831932687348099,0.0003598714356065,0,0.00445531996942474,0.00321678315013152,0,0.00971556559446781,0.00193581574427894,0.00487796231943148,0.00130968743016168,0.013645953013754,0
