# Analysis title: koTRAF3_IFNG_diff_peaks_top1k analysis from Cistrome-GO
# Mode: Solo mode
# Specie: mm10
# Peak bed file name: koTRAF3_IFNG_diff_peaks_top1k.bed
# Top peaks to use: 10000
# Half-decay distance: 10000bp
# FDR cutoff of GO/KEGG terms to return: 0.2
# Minimum and maximum gene number in GO and KEGG gene sets: 10, 2000
# Symbol	Coordinate	PeakNumber	adjRPscore	RPscore	Rank_by_RPscore
Plekhg2	chr7:28359603-28372662	11	0.002	-0.039	17649
Plekhg3	chr12:76533559-76579039	0	0.0	-0.027	17035
Plekhg1	chr10:3872666-3967302	0	0.0	-0.003	9581
Plekhg6	chr6:125362650-125380504	13	0.054	-0.017	15882
4930592I03Rik	chr18:82918404-82920560	0	0.0	-0.01	14090
Plekhg4	chr8:105373271-105382860	0	0.0	-0.004	10815
Plekhg5	chr4:152096718-152115404	0	0.0	-0.005	11125
Nsa2	chr13:97129426-97137926	0	0.0	-0.009	13562
Nampt	chr12:32820334-32853369	0	0.0	-0.003	9047
Vmo1	chr11:70513515-70514616	0	0.0	-0.006	12163
Man2a1	chr17:64601648-64755110	0	0.0	-0.001	6589
F930015N05Rik	chr11:64433134-64436674	0	0.0	0.0	503
4931406P16Rik	chr7:34236713-34285609	0	0.0	-0.009	13598
Vwf	chr6:125552947-125686679	13	0.033	-0.008	12924
Mir302d	chr3:127545623-127545689	0	0.0	-0.0	3766
Mier1	chr4:103119389-103165754	0	0.0	-0.0	1874
Mier2	chr10:79540244-79555128	0	0.0	-0.0	2912
Mier3	chr13:111686177-111718594	0	0.0	-0.0	3074
Aqp11	chr7:97726378-97738247	0	0.0	-0.016	15618
Aqp12	chr1:93006333-93012269	0	0.0	-0.001	6187
1810010H24Rik	chr11:107028222-107030442	0	0.0	-0.015	15575
Rpl31-ps12	chr16:16819712-16820196	0	0.0	-0.001	5440
Dag1	chr9:108204860-108263815	5	0.0	-0.01	14129
Myadm	chr7:3290554-3299349	0	0.0	-0.017	15867
Gm15008	chrX:36910833-36911985	0	0.0	-0.0	3873
Sacs	chr14:61138456-61240693	0	0.0	-0.0	4633
Zfp712	chr13:67038593-67061170	0	0.0	-0.0	1621
Zfp710	chr7:80024813-80092751	0	0.0	-0.007	12577
Zfp711	chrX:112600525-112635062	0	0.0	0.0	503
Zfp715	chr7:43296522-43313300	0	0.0	-0.001	6208
Mllt6	chr11:97663411-97685458	0	0.0	-0.017	15889
Zfp719	chr7:43579585-43593710	0	0.0	-0.001	6872
Mllt1	chr17:56892610-56935388	0	0.0	-0.004	10768
Mllt3	chr4:87769924-88033407	0	0.0	-0.007	12630
Btg4	chr9:51116000-51119923	0	0.0	-0.001	5939
Btg3	chr16:78359859-78376810	0	0.0	-0.005	11684
Btg2	chr1:134074864-134079155	0	0.0	-0.06	18040
Btg1	chr10:96617000-96622811	0	0.0	-0.003	9233
Smok3a	chr5:138021275-138034659	0	0.0	-0.0	1266
Smok3c	chr5:138053194-138066539	0	0.0	-0.0	2231
Smok3b	chr5:138037223-138050633	0	0.0	-0.0	1665
Nupl1	chr14:60218070-60251479	0	0.0	-0.0	3508
Nupl2	chr5:24164962-24184010	0	0.0	-0.0	3889
Hoxd3os1	chr2:74710043-74716130	0	0.0	-0.0	524
Ttc30a2	chr2:75976171-75978179	0	0.0	-0.001	6197
Npat	chr9:53537046-53575627	0	0.0	-0.0	1535
Ttc30a1	chr2:75979105-75981967	0	0.0	-0.001	6445
Gga1	chr15:78877189-78894585	0	0.0	-0.018	15963
Gga3	chr11:115584254-115603916	0	0.0	-0.008	13126
Gga2	chr7:121986721-122021198	0	0.0	-0.001	5582
Sorbs1	chr19:40292039-40402310	0	0.0	-0.087	18159
Sorbs3	chr14:70180467-70192246	0	0.0	-0.025	16902
Sorbs2	chr8:45507787-45827906	0	0.0	-0.003	8992
Tshz2	chr2:169632508-169913092	0	0.0	0.0	503
Tshz3	chr7:36698117-36773553	0	0.0	0.0	503
Tshz1	chr18:84011626-84087708	0	0.0	0.0	503
Mir302c	chr3:127545362-127545430	0	0.0	-0.0	3761
Bbof1	chr12:84409067-84433780	0	0.0	-0.0	4257
Speer4d	chr5:15619098-15623864	0	0.0	0.0	503
Speer4e	chr5:14933630-14938475	0	0.0	0.0	503
Speer4a	chr5:26034269-26039505	0	0.0	0.0	503
Speer4b	chr5:27495808-27501392	0	0.0	0.0	503
Speer4c	chr5:15709504-15714271	0	0.0	0.0	503
Arhgef28	chr13:97898594-98206165	0	0.0	-0.0	4209
Malrd1	chr2:15526478-16255557	0	0.0	0.0	503
Trnt1	chr6:106769137-106777681	0	0.0	-0.0	1668
Arhgef26	chr3:62338776-62462221	0	0.0	0.0	503
Efnb1	chrX:99136060-99149022	0	0.0	0.0	503
Lmna	chr3:88483204-88503352	0	0.0	-0.074	18115
Fndc3c1	chrX:106420042-106485229	0	0.0	0.0	503
Zdbf2	chr1:63273268-63314575	0	0.0	-0.001	5125
Sorcs1	chr19:50147660-50678646	0	0.0	0.0	503
Sorcs2	chr5:36017180-36398139	0	0.0	-0.001	5933
Sorcs3	chr19:48206024-48805505	0	0.0	0.0	503
Trim34a	chr7:104244456-104262236	0	0.0	0.0	503
