# Analysis title: MHCI_chipseq_diff_peaks_top1k analysis from Cistrome-GO
# Mode: Solo mode
# Specie: hg38
# Peak bed file name: MHCI_chipseq_diff_peaks_top1k.bed
# Top peaks to use: 10000
# Half-decay distance: 1000bp
# FDR cutoff of GO/KEGG terms to return: 0.2
# Minimum and maximum gene number in GO and KEGG gene sets: 10, 2000
# Symbol	Coordinate	PeakNumber	adjRPscore	RPscore	Rank_by_RPscore
LINC01744	chr1:232727253-232742715	0	0.0	0.0	235
LOC100506869	chr12:58591701-58812668	0	0.0	0.0	235
LOC102724604	chr3:181421162-181442486	0	0.0	0.0	235
MTVR2	chr17:56884101-56884913	0	0.0	0.0	235
LOC102724601	chr1:174121637-174159287	0	0.0	0.0	235
ATRX	chrX:77504877-77786216	0	0.0	0.0	235
LINC01634	chr22:18029384-18037968	0	0.0	0.0	235
LINC01637	chr22:20957091-20964680	0	0.0	0.0	235
LOC441204	chr7:26398568-26540950	0	0.0	0.0	235
TCOF1	chr5:150357638-150400308	0	0.0	0.0	235
NSRP1	chr17:30116806-30186475	0	0.0	-0.334	3647
SPPL3	chr12:120762509-120904352	0	0.0	0.0	235
OPA3	chr19:45527766-45584864	0	0.0	-0.247	2841
OPA1	chr3:193593143-193697811	0	0.0	-0.389	4782
FBL	chr19:39834452-39846414	0	0.0	-0.0	850
RNF219-AS1	chr13:78054854-78617325	0	0.0	0.0	235
LOC105369747	chr12:47305916-47307399	0	0.0	0.0	235
ITGA8	chr10:15513948-15720335	0	0.0	0.0	235
ITGA9	chr3:37452321-37819790	0	0.0	0.0	235
ITGA1	chr5:52788301-52953655	0	0.0	0.0	235
ITGA2	chr5:52989325-53094779	0	0.0	0.0	235
ITGA3	chr17:50055967-50090485	0	0.0	0.0	235
ITGA4	chr2:181456891-181476218	0	0.0	0.0	235
ITGA5	chr12:54395260-54419266	0	0.0	0.0	235
ITGA6	chr2:172427554-172506455	0	0.0	0.0	235
ITGA7	chr12:55684569-55707902	0	0.0	0.0	235
TRHR	chr8:109087423-109119583	0	0.0	0.0	235
UFSP1	chr7:100888722-100889718	0	0.0	-0.0	301
UFSP2	chr4:185399539-185425985	0	0.0	0.0	235
LOC101928371	chr2:88538719-88575610	0	0.0	0.0	235
LOC101928370	chr1:101234872-101236528	0	0.0	0.0	235
LOC101928372	chr1:160932464-160949922	0	0.0	0.0	235
FAM198B-AS1	chr4:158170751-158202877	0	0.0	0.0	235
FARP1	chr13:98143097-98245304	0	0.0	0.0	235
CHST9	chr18:26915630-27185338	0	0.0	0.0	235
CHST8	chr19:33684527-33773509	0	0.0	0.0	235
CHST1	chr11:45647688-45665656	0	0.0	0.0	235
CHST3	chr10:71964361-72013564	0	0.0	0.0	235
CHST2	chr3:143119775-143124014	0	0.0	0.0	235
CHST5	chr16:75528529-75535170	0	0.0	0.0	235
